Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2389.00,-2.00,2391.00,2390.25,2391.50,2384.25,"1,069,025",2507.00 / 2268.00,16:38:31 CT 12 May 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2385.25,-3.25,2388.50,2388.00,2388.75,2382.00,"3,994",2504.50 / 2265.50,16:37:45 CT 12 May 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2383.75,-1.75,2385.50,2378.75,2385.25,2378.75,257,2501.50 / 2262.50,16:37:40 CT 12 May 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",2379.50,-4.00,2383.50,2379.50,2379.50,2379.50,7,2499.50 / 2260.50,16:37:35 CT 12 May 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2384.50,-,-,-,0,2500.50 / 2261.50,16:37:42 CT 12 May 2017
